City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-joseph,-21.3667,55.6167,27.21,83,86,2.77,RE,1738270303
1,grytviken,-54.2811,-36.5092,5.13,74,37,8.31,GS,1738270304
2,iquitos,-3.7481,-73.2472,33.02,52,40,2.57,PE,1738270305
3,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,46,75,7.0,RU,1738270306
4,okha,53.5739,142.9478,-12.83,96,100,5.91,RU,1738270307
5,albany,42.6001,-73.9662,-2.46,49,86,0.45,US,1738270054
6,port elizabeth,-33.918,25.5701,21.29,94,54,2.68,ZA,1738270309
7,lucas,41.6501,-83.6666,8.08,61,0,3.6,US,1738270310
8,georgetown,5.4112,100.3354,25.96,72,20,3.09,MY,1738270075
9,tosontsengel,48.7567,98.2839,-19.53,100,100,0.64,MN,1738270312
10,carnarvon,-24.8667,113.6333,27.45,75,7,4.34,AU,1738270313
11,at taj,24.2049,23.2857,14.14,45,58,4.96,LY,1738270315
12,udachny,66.4167,112.4,-31.73,98,97,1.78,RU,1738270316
13,adamstown,-25.066,-130.1015,25.26,66,28,5.75,PN,1738270318
14,luderitz,-26.6481,15.1594,17.36,84,11,4.83,NA,1738270319
15,port-aux-francais,-49.35,70.2167,6.77,89,98,15.09,TF,1738270320
16,iqaluit,63.7506,-68.5145,-20.73,70,100,13.89,CA,1738270321
17,mount gambier,-37.8333,140.7667,13.15,83,81,0.81,AU,1738270322
18,kyshtovka,56.555,76.6271,-18.56,97,100,2.62,RU,1738270323
19,waitangi,-43.9535,-176.5597,14.02,74,11,4.59,NZ,1738270324
20,yorkton,51.2167,-102.4677,-8.09,86,100,4.63,CA,1738270325
21,luwuk,-0.9516,122.7875,22.16,86,100,1.84,ID,1738270326
22,constantia,44.1833,28.65,7.38,89,100,4.05,RO,1738270327
23,rio grande,-32.035,-52.0986,23.36,73,25,6.72,BR,1738270018
24,yuli,9.6989,10.2744,23.3,19,0,2.78,NG,1738270330
25,itoman,26.1247,127.6694,15.05,72,75,2.06,JP,1738270331
